TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1.1525,9.16,4.1,4.1,4.1,4.1,4.1,4.1,4.1
1.1535,9.16,4.15,4.15,4.15,4.15,4.15,4.15,4.15
1.1545,9.16,4.2,4.2,4.2,4.2,4.2,4.2,4.2
1.1555,9.16,4.24,4.24,4.24,4.24,4.24,4.24,4.24
1.1565,9.16,4.29,4.29,4.29,4.29,4.29,4.29,4.29
1.1575,9.16,4.34,4.34,4.34,4.34,4.34,4.34,4.34
1.1585,9.16,4.39,4.39,4.39,4.39,4.39,4.39,4.39
1.1595,9.16,4.43,4.43,4.43,4.43,4.43,4.43,4.43
1.1605,9.16,4.48,4.48,4.48,4.48,4.48,4.48,4.48
1.1615,9.16,4.53,4.53,4.53,4.53,4.53,4.53,4.53
1.1625,9.16,4.58,4.58,4.58,4.58,4.58,4.58,4.58
1.1635,9.16,4.63,4.63,4.63,4.63,4.63,4.63,4.63
1.1645,9.16,4.67,4.67,4.67,4.67,4.67,4.67,4.67
1.1655,9.16,4.72,4.72,4.72,4.72,4.72,4.72,4.72
1.1665,9.16,4.77,4.77,4.77,4.77,4.77,4.77,4.77
1.1675,9.16,4.82,4.82,4.82,4.82,4.82,4.82,4.82
1.1685,9.16,4.86,4.86,4.86,4.86,4.86,4.86,4.86
1.1695,9.16,4.91,4.91,4.91,4.91,4.91,4.91,4.91
1.1705,9.16,4.96,4.96,4.96,4.96,4.96,4.96,4.96
1.1715,9.16,5.01,5.01,5.01,5.01,5.01,5.01,5.01
1.1725,9.16,5.05,5.05,5.05,5.05,5.05,5.05,5.05
1.1735,9.16,5.1,5.1,5.1,5.1,5.1,5.1,5.1
1.1745,9.16,5.15,5.15,5.15,5.15,5.15,5.15,5.15
1.1755,9.16,5.2,5.2,5.2,5.2,5.2,5.2,5.2
1.1765,9.16,5.25,5.25,5.25,5.25,5.25,5.25,5.25
1.1775,9.16,5.29,5.29,5.29,5.29,5.29,5.29,5.29
1.1785,9.16,5.34,5.34,5.34,5.34,5.34,5.34,5.34
1.1795,9.16,5.39,5.39,5.39,5.39,5.39,5.39,5.39
1.1805,9.16,5.44,5.44,5.44,5.44,5.44,5.44,5.44
1.1815,9.16,5.48,5.48,5.48,5.48,5.48,5.48,5.48
1.1825,9.16,5.53,5.53,5.53,5.53,5.53,5.53,5.53
1.1835,9.16,5.58,5.58,5.58,5.58,5.58,5.58,5.58
1.1845,9.16,5.63,5.63,5.63,5.63,5.63,5.63,5.63
1.1855,9.16,5.67,5.67,5.67,5.67,5.67,5.67,5.67
1.1865,9.16,5.72,5.72,5.72,5.72,5.72,5.72,5.72
1.1875,9.16,5.77,5.77,5.77,5.77,5.77,5.77,5.77
1.1885,9.16,5.82,5.82,5.82,5.82,5.82,5.82,5.82
1.1895,9.16,5.87,5.87,5.87,5.87,5.87,5.87,5.87
1.1905,9.16,5.91,5.91,5.91,5.91,5.91,5.91,5.91
1.1915,9.16,5.96,5.96,5.96,5.96,5.96,5.96,5.96
1.1925,9.16,6.01,6.01,6.01,6.01,6.01,6.01,6.01
1.1935,9.16,6.06,6.06,6.06,6.06,6.06,6.06,6.06
1.1945,9.16,6.1,6.1,6.1,6.1,6.1,6.1,6.1
1.1955,9.16,6.15,6.15,6.15,6.15,6.15,6.15,6.15
1.1965,9.16,6.2,6.2,6.2,6.2,6.2,6.2,6.2
1.1975,9.16,6.25,6.25,6.25,6.25,6.25,6.25,6.25
1.1985,9.16,6.29,6.29,6.29,6.29,6.29,6.29,6.29
1.1995,9.16,6.34,6.34,6.34,6.34,6.34,6.34,6.34
1.2005,9.16,6.39,6.39,6.39,6.39,6.39,6.39,6.39
1.2015,9.16,6.44,6.44,6.44,6.44,6.44,6.44,6.44
1.2025,9.16,6.48,6.48,6.48,6.48,6.48,6.48,6.48
1.2035,9.16,6.53,6.53,6.53,6.53,6.53,6.53,6.53
1.2045,9.16,6.58,6.58,6.58,6.58,6.58,6.58,6.58
1.2055,9.16,6.63,6.63,6.63,6.63,6.63,6.63,6.63
1.2065,9.16,6.68,6.68,6.68,6.68,6.68,6.68,6.68
1.2075,9.16,6.72,6.72,6.72,6.72,6.72,6.72,6.72
1.2085,9.16,6.77,6.77,6.77,6.77,6.77,6.77,6.77
1.2095,9.16,6.82,6.82,6.82,6.82,6.82,6.82,6.82
1.2105,9.16,6.87,6.87,6.87,6.87,6.87,6.87,6.87
1.2115,9.16,6.91,6.91,6.91,6.91,6.91,6.91,6.91
1.2125,9.16,6.96,6.96,6.96,6.96,6.96,6.96,6.96
1.2135,9.16,7.01,7.01,7.01,7.01,7.01,7.01,7.01
1.2145,9.16,7.06,7.06,7.06,7.06,7.06,7.06,7.06
1.2155,9.16,7.1,7.1,7.1,7.1,7.1,7.1,7.1
1.2165,9.16,7.15,7.15,7.15,7.15,7.15,7.15,7.15
1.2175,9.16,7.2,7.2,7.2,7.2,7.2,7.2,7.2
1.2185,9.16,7.25,7.25,7.25,7.25,7.25,7.25,7.25
1.2195,9.16,7.3,7.3,7.3,7.3,7.3,7.3,7.3
1.2205,9.16,7.34,7.34,7.34,7.34,7.34,7.34,7.34
1.2215,9.16,7.39,7.39,7.39,7.39,7.39,7.39,7.39
1.2225,9.16,7.44,7.44,7.44,7.44,7.44,7.44,7.44
1.2235,9.16,7.49,7.49,7.49,7.49,7.49,7.49,7.49
1.2245,9.16,7.53,7.53,7.53,7.53,7.53,7.53,7.53
1.2255,9.16,7.58,7.58,7.58,7.58,7.58,7.58,7.58
1.2265,9.16,7.63,7.63,7.63,7.63,7.63,7.63,7.63
1.2275,9.16,7.68,7.68,7.68,7.68,7.68,7.68,7.68
1.2285,9.16,7.72,7.72,7.72,7.72,7.72,7.72,7.72
1.2295,9.16,7.77,7.77,7.77,7.77,7.77,7.77,7.77
1.2305,9.16,7.82,7.82,7.82,7.82,7.82,7.82,7.82
1.2315,9.16,7.87,7.87,7.87,7.87,7.87,7.87,7.87
1.2325,9.16,7.92,7.92,7.92,7.92,7.92,7.92,7.92
1.2335,9.16,7.96,7.96,7.96,7.96,7.96,7.96,7.96
1.2345,9.16,8.01,8.01,8.01,8.01,8.01,8.01,8.01
1.2355,9.16,8.06,8.06,8.06,8.06,8.06,8.06,8.06
1.2365,9.16,8.11,8.11,8.11,8.11,8.11,8.11,8.11
1.2375,9.16,8.15,8.15,8.15,8.15,8.15,8.15,8.15
1.2385,9.16,8.2,8.2,8.2,8.2,8.2,8.2,8.2
1.2395,9.16,8.25,8.25,8.25,8.25,8.25,8.25,8.25
1.2405,9.16,8.3,8.3,8.3,8.3,8.3,8.3,8.3
1.2415,9.16,8.34,8.34,8.34,8.34,8.34,8.34,8.34
1.2425,9.16,8.39,8.39,8.39,8.39,8.39,8.39,8.39
1.2435,9.16,8.44,8.44,8.44,8.44,8.44,8.44,8.44
1.2445,9.16,8.49,8.49,8.49,8.49,8.49,8.49,8.49
1.2455,9.16,8.54,8.54,8.54,8.54,8.54,8.54,8.54
1.2465,9.16,8.58,8.58,8.58,8.58,8.58,8.58,8.58
